fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1964,1964,Financed by: Net borrowing abroad,,-0.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0066,-0.0279,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Financed by: Net borrowing abroad,,0.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0013,0.0055,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Financed by: Net borrowing abroad,,2.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.033,0.1373,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Financed by: Net borrowing abroad,,8.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1135,0.4645,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Financed by: Net borrowing abroad,,22.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2957,1.2011,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Financed by: Net borrowing abroad,,21.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2812,1.1042,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Financed by: Net borrowing abroad,,19.6,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2587,0.9987,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Financed by: Net borrowing abroad,,15.2,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.2007,0.7438,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Financed by: Net borrowing abroad,,10.7,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,0.1413,0.492,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Financed by: Net borrowing abroad,,42.0,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,0.6097,1.7572,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Financed by: Net borrowing abroad,Fresh Loans,1.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0238,0.1048,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Financed by: Net borrowing abroad,Fresh Loans,1.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0145,0.0638,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
1964,1964,Financed by: Net borrowing abroad,Fresh Loans,0.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0106,0.0447,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1964=75.75000007575, rebased CPI_1964=0.0532)"
1965,1965,Financed by: Net borrowing abroad,Fresh Loans,2.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.0304,0.1258,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1965=75.75000007575, rebased CPI_1965=0.0543)"
1966,1966,Financed by: Net borrowing abroad,Fresh Loans,4.7,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.062,0.2581,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
