REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
ESP,WEF_GCIHH_EOSQ115,2010,4.4,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2010,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2009,4.56,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2009,24,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2008,4.83,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2008,21,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2007,4.87,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ115,2007,23,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2017,3.41,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ100,2017,67,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
ESP,WEF_GCIHH_EOSQ100,2016,3.31,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2016,79,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2015,3.31,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2015,76,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2014,3.44,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2014,68,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2013,3.52,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2013,63,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2012,3.69,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2012,51,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2011,3.79,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
ESP,WEF_GCIHH_EOSQ100,2011,44,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
