country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
TUR,Turkey,2010,55236680507.8705,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2011,76348495391.7717,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2012,81721687695.3877,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2013,96042092609.2353,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2014,102827298482.2915,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2015,109508669334.397,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2016,109884355133.6915,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2017,121968947205.9278,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2018,150377460471.604,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2019,122913704032.7619,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
